ID_Cliente,Ubicacion,Tipo_Propiedad,Estrato,Consumo_Enero,Consumo_Febrero,Consumo_Marzo,Consumo_Abril,Consumo_Mayo,Consumo_Junio,Pago_Enero,Pago_Febrero,Pago_Marzo,Pago_Abril,Pago_Mayo,Pago_Junio,Facturas_Atrasadas,Inspecciones,Reclamos,Fraude
1,Ciudad A,Residencial,2,750,950,800,500,1000,700,105,133,112,70,140,98,0,1,0,No
2,Ciudad B,Comercial,2,5000,4000,3500,4500,6000,5000,700,560,490,630,840,700,2,2,2,No
3,Ciudad A,Residencial,3,900,1000,1000,1500,800,950,126,140,140,210,112,133,1,0,1,No
4,Ciudad C,Residencial,2,1500,3000,1500,1750,2000,2100,210,420,210,245,280,294,3,3,2,Si
5,Ciudad B,Comercial,2,6000,5000,5500,4500,4000,3000,840,700,770,630,560,420,2,2,3,Si
6,Ciudad A,Residencial,4,800,900,1000,950,800,990,112,126,140,133,112,139,0,0,0,No
7,Ciudad C,Comercial,2,4500,4300,4200,4700,4800,5000,630,602,588,658,672,700,2,1,2,Si
8,Ciudad B,Residencial,4,1000,1000,1200,3000,2000,1550,140,140,168,420,280,217,1,2,1,No
9,Ciudad A,Residencial,2,700,800,850,700,750,650,98,112,119,98,105,91,1,1,0,No
10,Ciudad C,Comercial,2,5500,5000,4500,6000,6500,4000,770,700,630,840,910,560,0,3,3,Si
11,Ciudad A,Residencial,1,500,300,1000,1200,750,650,70,42,140,168,105,91,3,2,2,Si
12,Ciudad A,Residencial,1,400,400,1100,900,550,400,56,56,154,126,77,56,2,2,2,Si
13,Ciudad A,Residencial,2,830,777,2130,850,1503,1366,116,109,298,119,210,191,0,1,0,No
14,Ciudad A,Comercial,3,1846,972,2498,849,1881,610,258,136,350,119,263,85,1,1,3,No
15,Ciudad B,Residencial,3,2505,2348,2108,1288,3523,3359,351,329,295,180,493,470,3,0,0,No
16,Ciudad A,Residencial,4,2071,1587,2830,1313,1523,3481,290,222,396,184,213,487,0,0,0,No
17,Ciudad C,Comercial,3,2227,2383,2905,908,3193,824,312,334,407,127,447,115,4,1,3,No
18,Ciudad B,Residencial,3,3530,1037,1190,2119,1702,907,494,145,167,297,238,127,0,0,1,No
19,Ciudad A,Comercial,4,3581,2322,1588,774,1477,751,501,325,222,108,207,105,0,0,0,No
20,Ciudad C,Residencial,1,1354,2670,1495,3224,2256,1501,190,374,209,451,316,210,4,2,2,Si
21,Ciudad B,Residencial,4,1282,2082,1432,975,2543,1600,179,291,200,137,356,224,1,0,0,No
22,Ciudad A,Comercial,3,633,2856,1723,1304,2526,1813,89,400,241,183,354,254,2,1,0,No
23,Ciudad C,Residencial,4,1404,627,2981,3348,2914,2298,197,88,417,469,408,322,0,1,1,No
24,Ciudad A,Residencial,3,1573,2672,1712,1972,1973,2831,220,374,240,276,276,396,4,3,3,No
25,Ciudad A,Residencial,3,727,3547,549,952,2558,3274,102,497,77,133,358,458,4,0,1,No
26,Ciudad A,Comercial,3,2830,2426,1519,2113,3185,1345,396,340,213,296,446,188,1,1,0,No
27,Ciudad A,Residencial,3,2643,967,2582,798,3286,3802,370,135,361,112,460,532,0,3,0,No
28,Ciudad B,Residencial,2,2098,3810,3298,3247,782,808,294,533,462,455,109,113,0,0,0,No
29,Ciudad A,Comercial,3,1168,869,2434,3773,2666,1666,164,122,341,528,373,233,0,1,0,No
30,Ciudad C,Residencial,2,2602,3287,1028,1706,3119,509,364,460,144,239,437,71,2,2,3,Si
31,Ciudad B,Comercial,2,3865,2538,1534,626,3029,1908,541,355,215,88,424,267,0,0,1,No
32,Ciudad A,Residencial,3,1991,2155,1910,1540,2188,3755,279,302,267,216,306,526,0,1,1,No
33,Ciudad C,Residencial,4,2920,1797,2061,3880,1688,2926,409,252,289,543,236,410,1,0,0,No
34,Ciudad B,Comercial,3,3776,3697,723,1422,1290,644,529,518,101,199,181,90,1,3,2,No
35,Ciudad A,Residencial,3,3396,1110,825,3300,3274,1249,475,155,116,462,458,175,3,3,1,No
36,Ciudad C,Residencial,3,3530,3017,515,2765,3163,857,494,422,72,387,443,120,0,1,0,No
37,Ciudad A,Residencial,1,2881,3754,1948,1522,3957,3384,403,526,273,213,554,474,4,0,2,Si
38,Ciudad A,Comercial,4,1095,2507,2808,1320,2317,1332,153,351,393,185,324,186,1,0,0,No
39,Ciudad A,Residencial,4,2578,782,2356,792,1343,1086,361,109,330,111,188,152,1,0,1,No
40,Ciudad A,Residencial,2,2582,3747,507,2862,572,2341,361,525,71,401,80,328,2,1,3,Si
41,Ciudad B,Comercial,3,2725,2676,582,1227,2259,1809,382,375,81,172,316,253,0,1,1,No
42,Ciudad A,Residencial,2,1243,690,1093,2715,2652,1939,174,97,153,380,371,271,4,2,2,Si
43,Ciudad C,Comercial,2,2118,2355,1597,1699,1187,3511,297,330,224,238,166,492,1,1,1,No
44,Ciudad B,Residencial,2,688,3760,3903,1983,3449,1615,96,526,546,278,483,226,4,3,0,Si
45,Ciudad A,Residencial,1,3769,2918,1638,765,2431,2038,528,409,229,107,340,285,4,1,1,Si
46,Ciudad C,Comercial,2,2794,3891,2403,2375,3432,2479,391,545,336,333,480,347,1,0,0,No
47,Ciudad B,Residencial,1,2984,3168,3409,2152,2695,3802,418,444,477,301,377,532,4,2,0,Si
48,Ciudad A,Residencial,4,1918,1334,533,2907,2524,2655,269,187,75,407,353,372,0,1,1,No
49,Ciudad C,Residencial,4,3852,2238,3788,3020,1035,3042,539,313,530,423,145,426,0,1,0,No
50,Ciudad A,Comercial,3,1602,1444,3392,815,1130,2040,224,202,475,114,158,286,3,2,1,No
51,Ciudad A,Residencial,4,2461,2940,3810,2214,3506,3979,345,412,533,310,491,557,0,1,1,No
52,Ciudad A,Residencial,2,1498,3807,3556,1069,2478,2636,210,533,498,150,347,369,1,1,0,Si
53,Ciudad A,Comercial,2,3306,3133,1667,3558,3489,3696,463,439,233,498,488,517,1,0,1,No
54,Ciudad B,Residencial,1,3192,2497,833,2559,1724,1629,447,350,117,358,241,228,1,3,0,Si
55,Ciudad A,Comercial,1,2514,3195,1307,567,534,771,352,447,183,79,75,108,1,3,2,Si
