Ubicacion,Tipo_Propiedad,Consumo_Enero,Consumo_Febrero,Consumo_Marzo,Consumo_Abril,Consumo_Mayo,Consumo_Junio,Pago_Enero,Pago_Febrero,Pago_Marzo,Pago_Abril,Pago_Mayo,Pago_Junio,Facturas_Atrasadas,Inspecciones,Reclamos
3,0,1284,4928,4476,1633,727,3895,180,690,627,229,102,545,1,4,3
2,0,4530,545,771,3535,610,1725,634,76,108,495,85,242,0,0,1
0,1,4473,1980,2002,1785,4295,2750,626,277,280,250,601,385,0,1,2
3,1,5138,5258,3730,2594,3543,1430,719,736,522,363,496,200,0,3,4
3,0,542,2532,4616,5319,3560,1845,76,354,646,745,498,258,1,4,2
0,1,2637,1192,1635,2872,2397,554,369,167,229,402,336,78,2,4,2
1,0,4823,3424,1776,5339,1336,1464,675,479,249,747,187,205,4,2,4
2,1,1647,641,3004,4387,776,3391,231,90,421,614,109,475,0,4,0
2,0,3997,1449,5080,1007,2655,579,560,203,711,141,372,81,3,2,2
3,0,775,5174,1238,3826,2340,1001,109,724,173,536,328,140,1,3,1
1,0,5098,4883,2147,4339,4885,2575,714,684,301,607,684,361,3,4,2
3,1,2865,2305,3263,4073,1545,3570,401,323,457,570,216,500,3,1,1
2,1,2264,1172,2373,1820,3185,5040,317,164,332,255,446,706,3,0,2
2,1,5263,3828,1615,2300,5265,4780,737,536,226,322,737,669,3,2,4
3,0,2444,3829,3449,4751,4950,1125,342,536,483,665,693,158,1,0,1
0,0,1890,2983,1996,2943,546,678,265,418,279,412,76,95,0,1,4
1,1,2254,3385,5074,3000,1712,5272,316,474,710,420,240,738,2,1,4
3,1,4264,4563,1507,5203,1610,4787,597,639,211,728,225,670,3,3,4
1,0,4708,5300,1144,958,4166,5067,659,742,160,134,583,709,4,2,4
0,1,2884,4657,1394,1147,3075,5087,404,652,195,161,431,712,3,4,2
1,1,3608,3997,2114,585,3512,2346,505,560,296,82,492,328,3,2,4
1,1,4798,3679,2414,3481,4370,4364,672,515,338,487,612,611,1,1,1
2,1,896,2485,1803,2509,2220,4213,125,348,252,351,311,590,2,0,0
2,1,2499,4193,2037,3606,2000,961,350,587,285,505,280,135,1,2,1
1,1,3327,5241,3317,1301,658,1623,466,734,464,182,92,227,4,4,4
3,0,4505,3823,594,4322,3618,4847,631,535,83,605,507,679,3,3,3
0,0,5206,1680,4667,1191,673,5455,729,235,653,167,94,764,2,0,2
2,1,1259,2928,3714,907,3960,3188,176,410,520,127,554,446,3,0,0
3,1,2990,3718,2044,4467,4499,5123,419,521,286,625,630,717,3,2,1
0,1,4798,3435,618,3772,672,1339,672,481,87,528,94,187,1,0,3
3,0,5116,672,2232,2769,3623,4034,716,94,312,388,507,565,0,3,2
0,0,1709,1663,2773,1384,3551,5368,239,233,388,194,497,752,4,2,1
2,1,4982,2544,1182,1246,1817,5475,697,356,165,174,254,767,2,0,1
0,0,2437,5343,4755,1923,3459,1519,341,748,666,269,484,213,3,0,0
0,0,3959,1518,4988,2811,4241,2943,554,213,698,394,594,412,2,2,2
0,1,2476,1844,4959,731,2880,2481,347,258,694,102,403,347,3,2,2
2,0,4786,3442,786,2672,4846,1090,670,482,110,374,678,153,1,2,2
3,0,2799,1517,5015,5181,2764,1286,392,212,702,725,387,180,3,4,4
0,1,3917,4259,809,2503,1892,566,548,596,113,350,265,79,0,0,1
1,0,855,2471,5382,1170,2295,3809,120,346,753,164,321,533,1,2,4
1,0,676,994,1881,2530,2238,3556,95,139,263,354,313,498,3,1,4
2,1,5438,5228,1471,1945,1024,3111,761,732,206,272,143,436,4,3,3
3,0,3676,4129,5495,779,1298,4289,515,578,769,109,182,600,2,3,1
1,1,1832,5305,3540,5450,1807,2146,256,743,496,763,253,300,0,3,4
3,0,4097,3966,2921,1411,3430,3478,574,555,409,198,480,487,2,4,4
